Sort Order,Investment_ID,Investment_Name,Program_Form_Set_ID,Program_Form_Set_Name,Agency_ID,Agency_Name,Program_ID,Program_Name,Impact_Area_ID,Impact_Area,Outcome_Type_ID,Outcome_Type_Name,Standard_Outcome_ID,Strategy_ID,Strategy_Name,Outcome_Indicator_Type_ID,Outcome_Indicator_Type_Name,Standard_Outcome_Indicator_ID,Outcome_Indicator_ID,Outcome_Indicator_Name,Form_Status,Form_Section_ID,Form_Section_Header,Unique Count July 2019,Unique Count August 2019,Unique Count September 2019,Annual Target 2019 (if applicable)
21,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,18474,Agency B,73222,Agency B Program 1,2532,Strong Individuals and Families,12977,Strategy,11852,631713,Provide and/or build capacity for organizations that offer education and workforce development to clients at or below 200% of FPL. (Indicator 1),14845,Is anyone BETTER OFF?,21624,934002,# & % of participating clients with income above 200% Federal Poverty Level at the time of program completion (Better Off) SIFIC 1A,Submitted,135358,Better Off,0.0,0.0,0,5.0
22,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,18474,Agency B,73222,Agency B Program 1,2532,Strong Individuals and Families,12977,Strategy,11852,631713,Provide and/or build capacity for organizations that offer education and workforce development to clients at or below 200% of FPL. (Indicator 1),14845,Is anyone BETTER OFF?,21622,934001,# & % of participating clients with income increase at the time of program completion (Better Off) SIFIC 1A,Submitted,135358,Better Off,8.0,0.0,0,10.0
23,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,18474,Agency B,73222,Agency B Program 1,2532,Strong Individuals and Families,12977,Strategy,11852,631713,Provide and/or build capacity for organizations that offer education and workforce development to clients at or below 200% of FPL. (Indicator 1),14845,Is anyone BETTER OFF?,21620,934000,# & % of participating clients with increased educational attainment at the time of program completion (Better Off) SIFIC 1A,Submitted,135358,Better Off,10.0,0.0,0,10.0
24,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,18474,Agency B,73222,Agency B Program 1,2532,Strong Individuals and Families,12977,Strategy,11852,631713,Provide and/or build capacity for organizations that offer education and workforce development to clients at or below 200% of FPL. (Indicator 1),14844,How WELL did we do it?,21615,933997,# & % of recruited people who were enrolled in program (How Well) SIFIC 1A,Submitted,135360,How Well,10.0,21.0,23,500.0
25,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,18474,Agency B,73222,Agency B Program 1,2532,Strong Individuals and Families,12977,Strategy,11852,631713,Provide and/or build capacity for organizations that offer education and workforce development to clients at or below 200% of FPL. (Indicator 1),14843,How MUCH did we do?,21614,933996,# of people under 200% Federal Poverty Level enrolled in program (How Much) SIFIC 1A,Submitted,135352,How Much,18.0,21.0,23,75.0
26,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,18474,Agency B,73222,Agency B Program 1,2532,Strong Individuals and Families,12977,Strategy,11852,631713,Provide and/or build capacity for organizations that offer education and workforce development to clients at or below 200% of FPL. (Indicator 1),14843,How MUCH did we do?,21613,933995,# of people under 200% Federal Poverty Level recruited for program (How Much) SIFIC 1A,Submitted,135352,How Much,23.0,27.0,30,500.0
699,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24412,Indicator 4,18474,Agency B,73212,Agency B Program 2,2530,Ready Children,12977,Strategy,11849,631675,Conduct early developmental social/emotional screenings for more children ages 0 to 5 (4.1),14844,How WELL did we do it?,21582,933732,# & % of recruited children 0-5 screened on social/emotional development (How Well),Submitted,135360,How Well,0.0,0.0,0,250.0
700,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24412,Indicator 4,18474,Agency B,73212,Agency B Program 2,2530,Ready Children,12977,Strategy,11849,631675,Conduct early developmental social/emotional screenings for more children ages 0 to 5 (4.1),14844,How WELL did we do it?,21584,933734,# & % of screened children 0-5 referred to appropriate services based on screening results (How Well),Submitted,135360,How Well,0.0,0.0,0,20.0
701,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24412,Indicator 4,18474,Agency B,73212,Agency B Program 2,2530,Ready Children,12977,Strategy,11849,631675,Conduct early developmental social/emotional screenings for more children ages 0 to 5 (4.1),14844,How WELL did we do it?,21587,933737,# & % of screened children receiving appropriate services for identified social/emotional needs (How Well),Submitted,135360,How Well,0.0,0.0,0,250.0
702,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24412,Indicator 4,18474,Agency B,73212,Agency B Program 2,2530,Ready Children,12977,Strategy,11849,631675,Conduct early developmental social/emotional screenings for more children ages 0 to 5 (4.1),14843,How MUCH did we do?,21580,933730,# of children 0-5 recruited for screenings on social/emotional development (How Much),Submitted,135352,How Much,0.0,0.0,0,400.0
703,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24412,Indicator 4,18474,Agency B,73212,Agency B Program 2,2530,Ready Children,12977,Strategy,11849,631675,Conduct early developmental social/emotional screenings for more children ages 0 to 5 (4.1),14843,How MUCH did we do?,21583,933733,# of children 0-5 referred to appropriate services based on screening results (How Much),Submitted,135352,How Much,0.0,0.0,0,20.0
704,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24412,Indicator 4,18474,Agency B,73212,Agency B Program 2,2530,Ready Children,12977,Strategy,11849,631675,Conduct early developmental social/emotional screenings for more children ages 0 to 5 (4.1),14843,How MUCH did we do?,21581,933731,# of children 0-5 screened on social/emotional development (How Much),Submitted,135352,How Much,0.0,0.0,0,250.0
705,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24412,Indicator 4,18474,Agency B,73212,Agency B Program 2,2530,Ready Children,12977,Strategy,11849,631675,Conduct early developmental social/emotional screenings for more children ages 0 to 5 (4.1),14843,How MUCH did we do?,21585,933735,# of children receiving appropriate services for identified social/emotional needs from other partners. (How Much),Submitted,135352,How Much,0.0,0.0,0,15.0
706,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24412,Indicator 4,18474,Agency B,73212,Agency B Program 2,2530,Ready Children,12977,Strategy,11849,631675,Conduct early developmental social/emotional screenings for more children ages 0 to 5 (4.1),14843,How MUCH did we do?,21586,933736,# of children receiving appropriate services for identified social/emotional needs from services provided in PCEP (How Much),Submitted,135352,How Much,0.0,0.0,0,220.0
707,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24412,Indicator 4,18474,Agency B,73212,Agency B Program 2,2530,Ready Children,12977,Strategy,11850,631676,Increase parent and caregiver knowledge and understanding of age-appropriate developmental milestones through preventive programs (4.2),14844,How WELL did we do it?,21594,933750,# & % of children 0-5 in participating families meeting age appropriate developmental milestones (Better Off),Submitted,135360,How Well,0.0,0.0,0,230.0
708,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24412,Indicator 4,18474,Agency B,73212,Agency B Program 2,2530,Ready Children,12977,Strategy,11850,631676,Increase parent and caregiver knowledge and understanding of age-appropriate developmental milestones through preventive programs (4.2),14844,How WELL did we do it?,21444,933745,# & % of families completing programming (How Well),Submitted,135360,How Well,0.0,0.0,0,175.0
710,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24412,Indicator 4,18474,Agency B,73212,Agency B Program 2,2530,Ready Children,12977,Strategy,11850,631676,Increase parent and caregiver knowledge and understanding of age-appropriate developmental milestones through preventive programs (4.2),14844,How WELL did we do it?,21598,933748,# & % of participating families demonstrating an increase in parent/caregiver knowledge specific to age appropriate developmental milestones (How Well) RCIC 4.2,Submitted,135360,How Well,0.0,0.0,0,175.0
711,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24412,Indicator 4,18474,Agency B,73212,Agency B Program 2,2530,Ready Children,12977,Strategy,11850,631676,Increase parent and caregiver knowledge and understanding of age-appropriate developmental milestones through preventive programs (4.2),14844,How WELL did we do it?,21590,933742,# & % of recruited families with children 0-5 participating in programming (How Well),Submitted,135360,How Well,0.0,0.0,0,210.0
712,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24412,Indicator 4,18474,Agency B,73212,Agency B Program 2,2530,Ready Children,12977,Strategy,11850,631676,Increase parent and caregiver knowledge and understanding of age-appropriate developmental milestones through preventive programs (4.2),14843,How MUCH did we do?,21591,933743,# of children 0-5 in families enrolled as participants (How Much),Submitted,135352,How Much,0.0,0.0,0,250.0
713,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24412,Indicator 4,18474,Agency B,73212,Agency B Program 2,2530,Ready Children,12977,Strategy,11850,631676,Increase parent and caregiver knowledge and understanding of age-appropriate developmental milestones through preventive programs (4.2),14843,How MUCH did we do?,21593,933749,# of children 0-5 meeting age appropriate developmental milestones (Better Off),Submitted,135352,How Much,0.0,0.0,0,230.0
714,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24412,Indicator 4,18474,Agency B,73212,Agency B Program 2,2530,Ready Children,12977,Strategy,11850,631676,Increase parent and caregiver knowledge and understanding of age-appropriate developmental milestones through preventive programs (4.2),14843,How MUCH did we do?,21446,933747,# of families demonstrating an increase in parent/caregiver knowledge specific to age appropriate developmental milestones (How Well),Submitted,135352,How Much,0.0,0.0,0,175.0
716,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24412,Indicator 4,18474,Agency B,73212,Agency B Program 2,2530,Ready Children,12977,Strategy,11850,631676,Increase parent and caregiver knowledge and understanding of age-appropriate developmental milestones through preventive programs (4.2),14843,How MUCH did we do?,21589,933741,# of families with children 0-5 enrolled in programming as participants (How Much),Submitted,135352,How Much,0.0,0.0,0,210.0
717,15797,Impact Councils - Impact Council Reporting - Ready Children Impact Council,24412,Indicator 4,18474,Agency B,73212,Agency B Program 2,2530,Ready Children,12977,Strategy,11850,631676,Increase parent and caregiver knowledge and understanding of age-appropriate developmental milestones through preventive programs (4.2),14843,How MUCH did we do?,21588,933740,# of families with children 0-5 recruited for programming (How Much),Submitted,135352,How Much,0.0,0.0,0,370.0
27,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,18489,Agency C,73228,Agency C Program 1,2532,Strong Individuals and Families,12977,Strategy,11852,631740,Provide and/or build capacity for organizations that offer education and workforce development to clients at or below 200% of FPL. (Indicator 1),14844,How WELL did we do it?,21618,934090,# & % of participating clients completing program (How Well) SIFIC 1A,In Progress,135360,How Well,114.0,0.0,0,2780.0
28,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,18489,Agency C,73228,Agency C Program 1,2532,Strong Individuals and Families,12977,Strategy,11852,631740,Provide and/or build capacity for organizations that offer education and workforce development to clients at or below 200% of FPL. (Indicator 1),14844,How WELL did we do it?,21616,934089,# & % of participating clients meeting program dosage requirements (How Well) SIFIC 1A,In Progress,135360,How Well,114.0,487.0,536,2780.0
29,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,18489,Agency C,73228,Agency C Program 1,2532,Strong Individuals and Families,12977,Strategy,11852,631740,Provide and/or build capacity for organizations that offer education and workforce development to clients at or below 200% of FPL. (Indicator 1),14845,Is anyone BETTER OFF?,21628,934095,# & % of participating clients with income above 200% Federal Poverty Level 3 months after program completion (Better Off) SIFIC 1A,In Progress,135358,Better Off,0.0,0.0,0,270.0
30,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,18489,Agency C,73228,Agency C Program 1,2532,Strong Individuals and Families,12977,Strategy,11852,631740,Provide and/or build capacity for organizations that offer education and workforce development to clients at or below 200% of FPL. (Indicator 1),14845,Is anyone BETTER OFF?,21626,934094,# & % of participating clients with income above 200% Federal Poverty Level 6 months after program completion (Better Off) SIFIC 1A,In Progress,135358,Better Off,0.0,0.0,0,270.0
33,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,18489,Agency C,73228,Agency C Program 1,2532,Strong Individuals and Families,12977,Strategy,11852,631740,Provide and/or build capacity for organizations that offer education and workforce development to clients at or below 200% of FPL. (Indicator 1),14845,Is anyone BETTER OFF?,21620,934091,# & % of participating clients with increased educational attainment at the time of program completion (Better Off) SIFIC 1A,In Progress,135358,Better Off,114.0,84.0,92,2780.0
34,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,18489,Agency C,73228,Agency C Program 1,2532,Strong Individuals and Families,12977,Strategy,11852,631740,Provide and/or build capacity for organizations that offer education and workforce development to clients at or below 200% of FPL. (Indicator 1),14844,How WELL did we do it?,21615,934088,# & % of recruited people who were enrolled in program (How Well) SIFIC 1A,In Progress,135360,How Well,114.0,487.0,536,5040.0
35,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,18489,Agency C,73228,Agency C Program 1,2532,Strong Individuals and Families,12977,Strategy,11852,631740,Provide and/or build capacity for organizations that offer education and workforce development to clients at or below 200% of FPL. (Indicator 1),14843,How MUCH did we do?,21614,934087,# of people under 200% Federal Poverty Level enrolled in program (How Much) SIFIC 1A,In Progress,135352,How Much,403.0,487.0,536,3470.0
36,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,18489,Agency C,73228,Agency C Program 1,2532,Strong Individuals and Families,12977,Strategy,11852,631740,Provide and/or build capacity for organizations that offer education and workforce development to clients at or below 200% of FPL. (Indicator 1),14843,How MUCH did we do?,21613,934086,# of people under 200% Federal Poverty Level recruited for program (How Much) SIFIC 1A,In Progress,135352,How Much,403.0,487.0,536,5040.0
37,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,18489,Agency C,73228,Agency C Program 1,2532,Strong Individuals and Families,12977,Strategy,11859,631741,Provide and/or build capacity for organizations that offer education and workforce development to clients between 200-300% of FPL. (Indicator 2A),14843,How MUCH did we do?,21618,934097,# & % of participating clients completing program (How Well) SIFIC 1A,In Progress,135352,How Much,0.0,1.0,1,2.0
38,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,18489,Agency C,73228,Agency C Program 1,2532,Strong Individuals and Families,12977,Strategy,11859,631741,Provide and/or build capacity for organizations that offer education and workforce development to clients between 200-300% of FPL. (Indicator 2A),14844,How WELL did we do it?,21616,934096,# & % of participating clients meeting program dosage requirements (How Well) SIFIC 1A,In Progress,135360,How Well,0.0,3.0,3,2.0
42,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,18489,Agency C,73228,Agency C Program 1,2532,Strong Individuals and Families,12977,Strategy,11859,631741,Provide and/or build capacity for organizations that offer education and workforce development to clients between 200-300% of FPL. (Indicator 2A),14844,How WELL did we do it?,21622,934099,# & % of participating clients with income increase at the time of program completion (Better Off) SIFIC 1A,In Progress,135360,How Well,0.0,0.0,0,1.0
43,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,18489,Agency C,73228,Agency C Program 1,2532,Strong Individuals and Families,12977,Strategy,11859,631741,Provide and/or build capacity for organizations that offer education and workforce development to clients between 200-300% of FPL. (Indicator 2A),14844,How WELL did we do it?,21620,934098,# & % of participating clients with increased educational attainment at the time of program completion (Better Off) SIFIC 1A,In Progress,135360,How Well,0.0,1.0,1,2.0
44,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,18489,Agency C,73228,Agency C Program 1,2532,Strong Individuals and Families,12977,Strategy,11859,631741,Provide and/or build capacity for organizations that offer education and workforce development to clients between 200-300% of FPL. (Indicator 2A),14844,How WELL did we do it?,21733,934102,# & % of recruited people between 200%-300% Federal Poverty Level who were enrolled in program (How Well) SIFIC 2A,In Progress,135360,How Well,0.0,3.0,3,3.0
45,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,18489,Agency C,73228,Agency C Program 1,2532,Strong Individuals and Families,12977,Strategy,11859,631741,Provide and/or build capacity for organizations that offer education and workforce development to clients between 200-300% of FPL. (Indicator 2A),14843,How MUCH did we do?,21732,934101,# of people between 200%-300% Federal Poverty Level enrolled in program (How Much) SIFIC 2A,In Progress,135352,How Much,3.0,3.0,3,3.0
46,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,18489,Agency C,73228,Agency C Program 1,2532,Strong Individuals and Families,12977,Strategy,11859,631741,Provide and/or build capacity for organizations that offer education and workforce development to clients between 200-300% of FPL. (Indicator 2A),14843,How MUCH did we do?,21731,934100,# of people between 200%-300% Federal Poverty Level recruited for program (How Much) SIFIC 2A,In Progress,135352,How Much,3.0,0.0,0,5.0
47,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,18489,Agency C,73228,Agency C Program 1,2532,Strong Individuals and Families,12977,Strategy,11860,631745,Support collective impact  initiatives that convene community partners and stakeholders and which result in system-level changes that advance people beyond 300% of FPL.  (Indicator 2B),14844,How WELL did we do it?,21748,934109,#  & % of system-level changes to raise household incomes above 300% Federal Poverty Level identified (How Much) SIFIC 2B,In Progress,135360,How Well,0.0,0.0,0,1.0
72,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,29750,Agency D,73223,Agency D Program 1,2532,Strong Individuals and Families,12977,Strategy,11852,631714,Provide and/or build capacity for organizations that offer education and workforce development to clients at or below 200% of FPL. (Indicator 1),14844,How WELL did we do it?,21618,934009,# & % of participating clients completing program (How Well) SIFIC 1A,Submitted,135360,How Well,9.0,11.0,12,55.0
73,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,29750,Agency D,73223,Agency D Program 1,2532,Strong Individuals and Families,12977,Strategy,11852,631714,Provide and/or build capacity for organizations that offer education and workforce development to clients at or below 200% of FPL. (Indicator 1),14844,How WELL did we do it?,21616,934008,# & % of participating clients meeting program dosage requirements (How Well) SIFIC 1A,Submitted,135360,How Well,12.0,24.0,26,71.0
77,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,29750,Agency D,73223,Agency D Program 1,2532,Strong Individuals and Families,12977,Strategy,11852,631714,Provide and/or build capacity for organizations that offer education and workforce development to clients at or below 200% of FPL. (Indicator 1),14845,Is anyone BETTER OFF?,21622,934011,# & % of participating clients with income increase at the time of program completion (Better Off) SIFIC 1A,Submitted,135358,Better Off,6.0,11.0,12,55.0
78,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,29750,Agency D,73223,Agency D Program 1,2532,Strong Individuals and Families,12977,Strategy,11852,631714,Provide and/or build capacity for organizations that offer education and workforce development to clients at or below 200% of FPL. (Indicator 1),14845,Is anyone BETTER OFF?,21620,934010,# & % of participating clients with increased educational attainment at the time of program completion (Better Off) SIFIC 1A,Submitted,135358,Better Off,3.0,6.0,7,32.0
79,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,29750,Agency D,73223,Agency D Program 1,2532,Strong Individuals and Families,12977,Strategy,11852,631714,Provide and/or build capacity for organizations that offer education and workforce development to clients at or below 200% of FPL. (Indicator 1),14844,How WELL did we do it?,21615,934007,# & % of recruited people who were enrolled in program (How Well) SIFIC 1A,Submitted,135360,How Well,286.0,14.0,15,94.0
80,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,29750,Agency D,73223,Agency D Program 1,2532,Strong Individuals and Families,12977,Strategy,11852,631714,Provide and/or build capacity for organizations that offer education and workforce development to clients at or below 200% of FPL. (Indicator 1),14843,How MUCH did we do?,21614,934006,# of people under 200% Federal Poverty Level enrolled in program (How Much) SIFIC 1A,Submitted,135352,How Much,286.0,14.0,15,94.0
81,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,29750,Agency D,73223,Agency D Program 1,2532,Strong Individuals and Families,12977,Strategy,11852,631714,Provide and/or build capacity for organizations that offer education and workforce development to clients at or below 200% of FPL. (Indicator 1),14843,How MUCH did we do?,21613,934005,# of people under 200% Federal Poverty Level recruited for program (How Much) SIFIC 1A,Submitted,135352,How Much,286.0,15.0,17,110.0
1127,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24370,Indicator 2.1 Strategy 2.1A & 2.1B,29750,Agency D,73260,Agency D Program 2,2531,Successful Students,12977,Strategy,11869,632014,Increase student and guardian ability to overcome obstacles to school attendance (Indicator 2.1B),14844,How WELL did we do it?,21899,935165,#  & % of participating students chronically absent (at time of enrollment) (How Much) SSIC 2.1B,Submitted,135360,How Well,0.0,0.0,0,50.0
1128,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24370,Indicator 2.1 Strategy 2.1A & 2.1B,29750,Agency D,73260,Agency D Program 2,2531,Successful Students,12977,Strategy,11869,632014,Increase student and guardian ability to overcome obstacles to school attendance (Indicator 2.1B),14844,How WELL did we do it?,21902,935157,# & % of participating students at risk of becoming chronically absent (at time of enrollment),Submitted,135360,How Well,0.0,0.0,0,20.0
1129,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24370,Indicator 2.1 Strategy 2.1A & 2.1B,29750,Agency D,73260,Agency D Program 2,2531,Successful Students,12977,Strategy,11869,632014,Increase student and guardian ability to overcome obstacles to school attendance (Indicator 2.1B),14844,How WELL did we do it?,21905,935159,# & % of participating students completing intervention(s) (How Well) SSIC 2.1B,Submitted,135360,How Well,0.0,0.0,0,60.0
1130,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24370,Indicator 2.1 Strategy 2.1A & 2.1B,29750,Agency D,73260,Agency D Program 2,2531,Successful Students,12977,Strategy,11869,632014,Increase student and guardian ability to overcome obstacles to school attendance (Indicator 2.1B),14845,Is anyone BETTER OFF?,21915,935164,# & % of participating students completing intervention(s) no longer chronically absent (Better Off) 2.1B,Submitted,135358,Better Off,0.0,0.0,0,20.0
1131,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24370,Indicator 2.1 Strategy 2.1A & 2.1B,29750,Agency D,73260,Agency D Program 2,2531,Successful Students,12977,Strategy,11869,632014,Increase student and guardian ability to overcome obstacles to school attendance (Indicator 2.1B),14845,Is anyone BETTER OFF?,21909,935161,# & % of participating students overcoming one or more obstacles to school attendance (Better Off) SSIC 2.1B,Submitted,135358,Better Off,0.0,0.0,0,50.0
1132,15798,Impact Councils - Impact Council Reporting - Successful Students Impact Council,24370,Indicator 2.1 Strategy 2.1A & 2.1B,29750,Agency D,73260,Agency D Program 2,2531,Successful Students,12977,Strategy,11869,632014,Increase student and guardian ability to overcome obstacles to school attendance (Indicator 2.1B),14844,How WELL did we do it?,21907,935160,# & % of participating students with at least one parent/guardian completing intervention(s) (How Well) SSIC 2.1B,Submitted,135360,How Well,0.0,0.0,0,60.0
